title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
Systems Engineer - NYC,"US, NY, New York",IT,null,"GPL Technologies is a solutions provider focused on the design, implementation, and support of high-performance information technology systems.  Founded in Los Angeles, California in 2003, we draw on over a decade of expertise as trusted technology advisers, adding value for our customers by offering unique methods of improving IT efficiency, streamlining complex systems and environments, and reducing the costs associated with acquiring and maintaining IT systems. GPL cut its teeth serving the intense requirements of customers in the media and entertainment industry.  We bring that work ethic with us to every customer: time is money, deadlines are non-negotiable, and the show must go on.  Our company is comprised of creative, independent thinkers with a passion for technology.  We love big data, fast networks, and solving the problems posed by today's digital media production pipelines.If serving clients who think a quarter petabyte of storage is a starter system sounds like fun to you, or if you love dealing with the dynamic people and personalities in the fast-paced media and entertainment industry, we might be a great fit for each other.  Send us your resume and lets talk.","DESCRIPTIONAre you the first person people call when their computer breaks?  Do you find zen-like tranquility in assembling your own high-performance PC rigs?  Can you calm a frantic user who just deleted her entire inbox and help her get her life back on the rails?  If you’re one of those rare IT pros who possesses sharp desktop/server skills AND a knack for making users actually happy they called the helpdesk, we’ve got a job for you!We are an IT services firm that caters to some of Hollywood’s most notable Movie Studios, Gaming Companies, and Visual Effects Houses. We provide high-performance storage and networking solutions, virtualized infrastructure, big iron render farms, and the integration know how to make it all work together.  At the end of the day we are part of what goes into making great movies and leading edge games.","Working knowledge of VFX pipelines, Editorial, and Digital Intermediate5+ years experience in IT Support and Engineering roleWindows Server, CentOS, OSX, Maya, Nuke, renderfarms, and storage",null,0,1,0,Full-time,Not Applicable,Unspecified,Information Technology and Services,Information Technology,0
Client and Credit Consultants,"MT, 56, Sliema",Accounts,null,null,"Responsibilities:You will be responsible for servicing the needs of Ferratum Group customers in Belgium, including: Handling credit applicationsCustomer service (mainly by phone and e-mail)Administration of credit agreements and handling of daily financial reportsFollowing up incoming and outgoing payments, including collection activities ","Expected skills and work experience:Self-sufficient and creativeCustomer oriented, service minded and professional;A team player who is meticulous and administratively skilled;Familiar with MS Office applications;Fluent Dutch/Flemish and French language skills (both verbal and written), in   addition to being proficient in English;You are willing to also work on evenings and weekends, when needed (current opening hours are Monday – Friday 8:00 – 18:00).   ",null,0,0,1,null,null,null,null,null,0
English Teacher Abroad ,"US, NC, Davidson",null,null,We help teachers get safe &amp; secure jobs abroad :),"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today ",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,0,1,1,Contract,null,Bachelor's Degree,Education Management,null,0
SharePoint Architect,"US, IN, Indianapolis",null,null,null,"The SharePoint Architect will lead the team while utilizing an iterative approach to architectural design, development, UI and technology integration efforts for various projects. Projects will require deep knowledge of SharePoint Server 2010 design, development and integration of custom components and web parts, WCM, Search, Document Management, #URL_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a#, and SQL Server. The SharePoint Architect will also lead client facing pre-engagement strategy/educational sessions on various topics related to Collaboration, Enterprise 2.0 concepts, Information Architecture, Portals, Workflow, Document Management, WCM, Search, etc. for Enterprise-level clients, often leading into specific Microsoft technologies and solutions.","*       Recommend technology strategy by understanding key objectives; diagnosing and mapping  requirements; articulating solution risks and barriers; recommending delivery approaches; preparing time and cost estimates; planning full project life cycle*       Lead and facilitate information gathering sessions to validate business cases, gather and document business and functional objectives*       Implement architecture by building components and custom designs; prototyping; data migration; maintaining technical integrity and consistency; documenting system*       Validate system performance by developing and conducting test scripts; completing bug fixes*       Prepares client to use IT infrastructure by developing and conducting training programs*       Manage customer relationship by communicating architecture standards and frameworks; answering questions; resolving concerns and issues*       Actively participate in the business development lifecycle. Identify opportunities, generate proposals, and support other sales efforts*       Increase organization effectiveness by identifying opportunities to leverage solutions across multiple engagements*       Enhance overall team accomplishments and competence by planning delivery of solutions; answer technical and procedural questions for less-experienced team members; teach improved processes; mentor team members*       Improve information sharing through awareness of emerging technologies and; evaluating their applicability to business goals and operational requirements*       Update job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations Key Skills:*       Strong knowledge SharePoint Server 2010 (SharePoint Server 20103 a plus) architecture  Includes, but not limited to, farm/web architecture, Sites, Lists/Libraries, Web Parts (List Views, CQWP, DFWP, Search Web Parts, etc.), Content Types, Columns, MMS, Content Hub, Search, User Profile, My Site, Publishing Infrastructure, and Workflows*       Strong understanding of overall Microsoft Information Worker infrastructure and architecture.  (Understanding of related products such as Project server, Forms server, InfoPath, Dynamics CRM, etc. a plus)*       Strong C# and #URL_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a# (.NET 3.5 and 4.0) SharePoint development (custom ASPX pages, Web Parts, Workflows, Event Receivers, BCS/BDC, etc.)*       Strong XSLT, CAML, and JSON development*       Strong custom SharePoint Master Pages, Page Layouts, and jQuery controls development.*       Experience with HTML5 and CSS3*       Professional experience with n-tier application architectures development*       Strong experience with SQL Server 2008 and 2012 database design and development*       Knowledge of data modeling techniques*       Experience with service-oriented architectures, web services (SOAP and RESTful), and XML Other Requirements:*       Degree in Computer Science or Engineering or equivalent work experience.*       Excellent written and oral communication skills*       Consulting skills such as interviewing stakeholders, conducting architecture reviews, and consensus building*       Strong experience facilitating meetings with both business and technical stakeholders for envisioning and information gathering sessions*       Strong experience creating a technical work breakdown and estimate of the application's physical architecture that maps to the business requirements*       Strong analytical and conceptual skills, with ability to function at both the detail and conceptual levels*       Strong experience managing a team of developers.  This includes assigning work, mentoring, code reviews, and making staffing adjustments as needed. Strong experience managing a team of developers.  This includes assigning work, mentoring, code reviews, and making staffing adjustments as needed*       Extensive experience with Enterprise 2.0 concepts and ability to effectively share knowledge with team, as well as client stakeholders",This is a 6 month contract.,0,0,0,Contract,Mid-Senior level,null,Information Technology and Services,Information Technology,0
"Salesforce.com Developer - Birmingham, England ","GB, BIR, ",Salesforce ,null,null,"Consulting | Birmingham, United Kingdom  Since 2006, Appirio has helped companies power their business with the cloud. We provide professional services backed by a team of 600 strategy and technology experts, an innovative technology platform, and a 60,000 person crowdsourcing community that lets enterprises move faster, rethink processes and change the way their employees work. We’ve been recognized by organizations such as the World Economic Forum, the Wall Street Journal, Gartner and IDC, and are backed by Sequoia Capital, GGV and General Atlantic.Cloud, social and mobile are changing the face of IT and business and Appirio is at the heart of this revolution. We offer employees the opportunity to work with industry pioneers, the latest in technology, and some of the most innovative customers in the world.   Duties Appirio is focused on cloud development implementations, integrations and development. The #URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86# Developer  will work with customers and Appirio project teams to analyze their requirements, develop designs, and implement #URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86# and systems. Specific areas of concentration include:System Implementation &amp; Adoption#URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86# Service &amp; Support#URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86# Sales Force Automation#URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86# #URL_9c5f751b7ed85d808872f8eb3e558a747f92376a3c1005f6b91fe07438fe13f9# platform development#URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86#’s Apex programming languageCandidate Profile Enthusiastic, professional, and confident personality, with a focus on customer successExcellent listening skills to fully understand the customer requirements and pain pointsAbility to translate customer requirements into implementation plansTechnical acumen to convert plans into real solutions that workDriven by customer success with a team player attitudeLocated and able to work in Birmingham, England and able to travel up to 40-60%Looking for a full-time position","Preferred Skills/Experience B.S. degree in Computer Science, Software Engineering, MIS or equivalent#URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86# Developer 401 certified3+ years of experience with technical implementations of customer projectsProficient in SFDC technologies including configuration and custom development Experience with other CRM software (Siebel, Clarify, Vantive, Peoplesoft, NetSuite, etc.)Experience with enterprise integration tools and extract, transformation and load (ETL) toolsApplication development experience with Javascript, XML, HTTP, Java, C++, ASP, SQLStrong presentation and communication skillsThis position is located in and surrounding Birmingham, England. Applicants will not be considered if located outside of the Birmingham, England area.  ",Salary and Benefits Salary and bonus structures based on experience,0,0,1,null,null,null,null,null,0
Purolator International - Pricing Financial Analyst (Analyst II Finance US),"US, NY, Jericho",null,null,"Pricing Recruiters is the leading global resource for the procurement, vetting and placement of qualified, pricing and profitability professionals worldwide.  We understand and hold appreciation for the unique needs and demands of today’s employers and job seekers who work within the pricing discipline across all levels and industries.  Through our insightful knowledge of pricing in over 5 offices in 4 key international markets we hold an active candidate database of over 4,000 candidates from senior analyst to executive leadership.  Contact one of our recruitment consultants today to learn how we can help position your pricing team for success through strategic recruitment and team buildin","Working at Purolator International is more than a job. It's an opportunity to learn and excel, to be part of a winning team and to contribute to the success of our growing company. Purolator International is a subsidiary of Purolator International, Canada's largest integrated distribution services company. Purolator International is rapidly expanding throughout the United States, and is looking for talented and experienced sales professionals to help grow our business in the United States.","Responsible for supporting corporate profit margin (P&amp;L;) requirements by utilizing market pricing for new and existing customers on various products, services, and ad-hoc opportunities and analyzing pricing and profit margins. Duties include:Maintain P &amp; L analysis and reporting for existing customers to identify account adjustments to optimize the profitability of the customer basePreparing supporting analysis for new sales proposals that include financial as well as contractual interpretations. Support selling price determinations with internal customers.Help guide internal customers on increases and their accounts, policy guidance, etc.Respond to inquiries and reinforce training and implemented pricing policy, margin analysis, and market research to internal customersAssist in monitoring administration of sales agreementsCommunicate with internal customers on tactical aspects of contract requirements.Support development and employ strategic price setting on sales contract renewals, RFQs and ad-hoc servicesMaintain P&amp;L; analysis at a client level in detail to optimize active contracts. This includes preparing internal review renewal packages and documenting exceptional contract-affecting issuesPrepare analysis of specific products, rate comparisons, pricing and cost elementsHelp guide internal customers on increases and their accounts, policy guidance, etcEnsure contracts are fully executable and completeCollaborate with Contract Administrator and maintain contract compliance and exception reporting.Maintain process and approval reportingSupport cross-functional teams in overall tactical effectivenessProvide support to the Billing Quality Assurance teamAdditional projects as deemed necessary by ManagerMinimum Bachelors Degree in Finance or Accounting with 5 years of financial analysis experience --with contract and pricing as well as freight forwarding experience a plus.Excellent MS Office skillsExcellent organizational and interpersonal skills, ability to multi-task and work in a fast paced/demanding environmentStrong problem solving skills required","Purolator International Provides Competitive Benefits Package IncludingMedical, Dental, Vision, Prescription Drugs401k with Employer MatchCompany Paid Life InsuranceAdditional Optional Life InsuranceDisability/Income ProtectionEmployee Assistance ProgramTuition AssistanceFlexible Spending AccountPaid Time OffDate:* 2014-01-29Country:* USState:* NYCity:* JerichoPostal Code:* 11753About PurolatorPurolator Inc. is Canada’s leading integrated freight, parcel and logistics solutions provider. Celebrating over 50 years of delivering its customers’ promises, Purolator continues to expand its reach, renowned service levels and reliability to more people, more businesses and more places across the country and around the world. Purolator is proud of its Canadian heritage and is focused on sustainably positioning itself for future growth and success. Purolator is also committed to contributing to the well-being of the communities it serves and where more than 12,000 of its teammates live, work and play.",0,1,0,Full-time,null,null,null,null,0
Military Benefits Advocate,"US, IL, ",null,30000-100000,"Anthony Warren is a Marketing and Advertising consultant.  After completing one enlistment as a U.S. Marine at Quantico, VA, where he provided administrative support to the Lawyer for the Commandant of the Marine Corps, he has hired and trained over 1000 sales people managers and CEO's to increase their effectiveness and monetize thier efforts.  His early skill as a door to door salesman has evolved from concert promoter, Real estate investor, Fundraiser and now with the internet to a supply and demand tour guide. His zest for finding information and his ability to sell ideas has generated affiliations and clients from small business to Fortune 200.  Brainstorm and network with this evangelical marketing Pro.","AWC WANTS YOU:We are looking for a talented and competitive Inside Telecommute Benefits Representative that thrives in a fact paced  ""not for profit"" cycle environment.  The successful candidate will play a fundamental role in achieving our ambitious customer and client acquisition and revenue growth objectives. You must be comfortable managing people or making dozens of calls per day, working with channel and military partners, generating interest, qualifying prospects, closing sales and promoting our benefits, Training workshops, seminars and various affiliate products as we raise money for charity.Compensation:  $1000 to $4000 a month (Based on ability and performance)ResponsibilitiesSource new sales opportunities through inbound lead follow-up and outbound cold calls and emailsUnderstand customer needs and requirementsRoute qualified opportunities to the appropriate sales executives for further development and closureClose sales and achieve quarterly quotasResearch accounts, identify key players and generate interestMaintain and expand your database of prospects within your assigned territoryTeam with channel partners to build pipeline and close dealsPerform effective online demos to prospects","Requirements2+ years of inside sales experienceTrack record of over-achieving quotaStrong phone presence and experience dialing dozens of calls per dayProficient with corporate productivity and web presentation toolsExperience working with #URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86# or similar CRMExcellent verbal and written communications skillsStrong listening and presentation skillsAbility to multi-task, prioritize, and manage time effectivelyBA/BS degree or equivalent",DisablityHealthBusiness Start upFranchise,1,1,1,Contract,Associate,Certification,Military,Project Management,1
Construction Management - Chicagoland Area,"US, IL, Glendale heights",Sales,70000-125000,"Advocate Construction is an up and coming leader in the disaster recovery industry, In early 2012, Advocate was founded by two individuals that decided that they wanted something better in life, today their idea, hard work and dedication has grown Advocate Construction into a team of over 25 sales professionals and 3 branches offices in 3 different states with more offices opening soon. Advocate believes in growth of its entire workforce and offers an outstanding management training program. Our Sales managers will provide the invaluable tools needed for you to be successful for many years to come. So if you have what it takes to be part of something great then we encourage you to apply today! The Advocate difference! We believe that hard work and dedication deserves to be rewarded, we provide the opportunity for every single team member to be successful by homing in on a working process and delivering a top notch product plus exceeding our commitment to service. This posture has taken us to the next level of sales and revenue.","Are you looking for an exciting new position and an opportunity to change your life for the better?About us:Advocate Construction is currently expanding our territory in the Chicago Area, due to this exciting growth we are now looking to offer an outstanding opportunity for the right person that is not intimidated by hard work and has what it takes to become part of a company that has increased sales year after year.As an Assistant Manager you will help Advocate Construction in our mission to help homeowners obtain much needed repairs to their homes after they have experienced damage due to a severe storm at little or no cost.Advocate Construction offers an outstanding Management Trainee Program (MTP) which focuses on sales and business management education; this invaluable training will enable you to acquire an impressive skill set which will lead you into senior management and earn a sustainable income for many years to come.If you are seeking a long term career with unlimited potential and are interested in becoming a Assistant Manger, we invite you to apply with your resume and introduction as to why you are the right person for this outstanding opportunity.Visit us at hr.#URL_008f95d1230230d6c10ef1475cb94101d63ed7b9add0ff1a364c3c4a3e45286a#","Basic Requirements needed:Ability to effectively communicate in English, in person as well as by phone and email.Ability to present, pitch and deliver brief customer orientations in person on consistent basis.Ability to work with minimal supervision after paid training has been completed.Ability to supervise, train and develop new sales talent.Ability to climb roofs and ladders on a constant basis.Must have a pleasant, energetic and empathic demeanor.Must be able to work, secure and canvasses an area on foot and train others in the same process. Must be neat and have the ability to represent yourself and the company.Applicants with experience in the service and sales industry will be highly considered.Applicants with previous supervisory experience is a plus.","What we offer for your hard work:An excellent compensation package, with secured and guaranteed high earnings, vacations, bonuses.Serious income to start 50K plus percentage of profit, plus percentage of your teams profit. (High Potential)Year round full time work, No seasonal work here!Weekly compensation payout after the first two weeks of employment. Direct Deposit available.Excellent new manager training by your co managers and sales director.Need a pickup truck, No Problem! We offer truck rental/lease assistance program.Develop territory which leads to a path of Branch Management. Relaxed and comfortable work environment with casual business dress.Dedicated support team that ensures you have everything you need to be successful.",0,1,1,Full-time,Mid-Senior level,High School or equivalent,Construction,Sales,0
Home Based Payroll Typist/Data Entry Clerks Positions Available,"US, TX, Abernathy ",Clerical,null,null,"We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  ","Basic computer and typing skills, ability to spell and print neatly, ability to follow directions.",All you need is access to the Internet and you can participate. This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can from the comfort of your home typing and doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#,0,0,0,null,null,null,null,null,1
Software Development Engineer,"GR, I, Neo Iraklio",Product Development,null,"Unify — formerly known as Siemens Enterprise Communications — is a premier communications software and services firms. Our solutions unify multiple networks, devices and applications into one easy-to-use platform that allows teams to engage in rich and meaningful conversations. The result is a transformation of how the enterprise communicates and collaborates that amplifies collective effort, energizes the business, and enhances business performance. Born out of the engineering DNA of Siemens AG, Unify builds on this heritage of product reliability, innovation, open standards and security to provide integrated communications solutions for approximately 75% of the Global 500. Unify is a joint venture of The Gores Group and Siemens AG","As a Unify Software Engineer you will be responsible for the development of the software running on OpenScape Business and OpenScape Office software family of products for small and medium enterprises.What you will be doing:Responsible for the development and maintenance of core components within the Openscape Business media stackDesign and implement new features and servicesBuild real time media processing components and platform integration layersPreserve and optimize the quality of system softwareWork with other teams to improve and extend existing functionality, working with the QA team on improvements in testing and benchmarkingProactively ensure the highest level of quality standards in the solutions provided to the customersGet involved as part of a team of technical experts, define, design and implementLiaise with global vendor support and other stakeholders for problem resolution","Who we are looking for:A confident software engineer with hands-on development experience, technical expertise and knowledge of C/C++, object orientated designs, design patterns coupled with an understanding of architectural complexityA software engineer with experience in media and VoIP protocols, which understands TCP/UDP networking and digital communications security concepts. (e.g. WebRTC, SIP, MGCP, CSTA)Someone familiar with embedded systems, multi-threaded environments and real time media.An engineer familiar with continuous integration concepts (e.g. Jenkins)Knowledgeable of Linux/Unix environment, tools, and APIsA self motivated individual with strong analytical thinking and problem solving skills; who has the mindset to innovate; with the ability to prioritize tasks and meet schedules under pressureSomeone with good communication, presentation and team working skills fluent in English, preferably in Greek as wellA collaborator who can create consensus whilst also challenging ideas and assumptionsCandidates who fulfill the above prerequisites and also possess the following skills will be preferred: Postgraduate studies in Computer Science or related technical disciplineTechnical certifications will be valuedFluency in German","We offer a competitive base salary and benefits, directly dependent on candidates' qualifications and skills. By joining the development team, you will also be exposed to an international environment in a very dynamic and progressive group. Our product portfolio establishes us, as one of the top Telecommunication Manufacturers in global scale for the Small and Medium Enterprise market.Competitive remuneration packagePrivate insuranceWork in a challenging multinational environmentContinuous training opportunities",0,1,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Engineering,0
SEM Manager Germany,"DE, , Berlin",Performance Marketing,null,"Babbel enables anyone to learn languages in an easy and interactive way. The learning system offers 13 languages, from English to Indonesian. Users with and without previous knowledge can access grammar and thematic courses as well as vocabulary, writing and listening comprehension exercises online and on the go. In addition to the full courses for web, iOS and Android, there are also vocabulary trainer apps for Windows 8 and the Kindle Fire.Babbel is operated by Lesson Nine GmbH in Berlin. The company was founded in August 2007 and now has approximately 250 employees and freelancers and is opening an office in New York City (Lower East Side).","Management and development of our search engine marketing for one of our key markets GermanyConception, launch and management of SEM campaigns in AdWords (Search, GDN, Gmail, Youtube) and Microsoft Ad Center for Web &amp; Mobile trafficPerformance optimisation of campaigns with constant testingPerformance monitoring and reporting","2+ year experience in online marketing, preferably in SEMStrong affinity for numbers with superior analytical skillsExperience working with large budget international PPC campaignsStrategic, proactive, data driven and highly collaborativeExtensive MS Office knowledgeNative German speaker, fluent in EnglishHands-on marketer able to work independentlyUnderstanding of current online marketing technologies","Responsibility from day one in one of the key markets for BabbelLearn from a team with strong expertise in performance marketing worldwideHigh quality, useful product that you enjoy advertisingWork in a truly international company",0,1,1,Full-time,null,null,E-Learning,null,0
Network IT Consultant/Systems Engineer/Network Administrator (Immediate Hire),"US, FL, Boca Raton",null,50000-70000,null,"Network Consultant (Immediate Hire)South Florida IT Company currently seeking a full-time position MSCE consultant to work in the South Florida area. The successful candidate must have expert knowledge of Microsoft Windows desktop, Server O/S and MS-Exchange and have exceptional articulation, documentation, presentation, and communication skills. The candidate will work closely with client's staff to provide full-service IT outsourcing.  The candidate will report to our office in Boca Raton, work mostly independently, and support our customers throughout Florida. Key areas of expertise include Exchange-based email, Active Directory, security, server monitoring, and network infrastructure. Candidate must have MCSE 2003, experience managing a team and knowledge of the business process.Typical customer tasks involve:Support and troubleshoot client’s users, servers, workstations and networks. Work on-site or remotely to diagnose and resolve problems.Maximize system availability and performance through fault-tolerant configuration, efficient network architecture, and proactive server monitoring, while keeping in mind the customer’s business goals.Support and manage a variety of applications including but not limited to: office automation applications email applications, phone communications, and high-speed internet connections.Create on-going documentation of the environment as it evolves, including detailed time records of account activity.Be able to recommend and specify new server communications equipment and/or software to support growth and additional applications.Set up and evaluate various information services and applications for clients or internal infrastructure.Specify and order new equipment and/or software to support growth and additional applications.Evaluate and understand clients business in order to provide recommendations/solutions to aid clients growth, Minimum Technical Work Experience Requirements:Ability to troubleshoot application problems including desktop application integration issues, server problems, data service issues, and connectivity problems.Knowledge of state-of-the-art personal computers and associated peripherals, LANs, software and data communication packages in order to configure systems and to diagnose and correct system malfunctions.In-depth knowledge of widely used personal computer and server software packages in order to provide technical assistance on related projects.Ability to translate business requirements into technical solutions Strong troubleshooting and communications skills, and the ability to implement quick workarounds to technical problems.Willingness to exchange information with clients and colleagues.Ability to operate effectively in a mobile office environment, providing consistent follow-through and utilizing remote access and wireless connectivity technology. Familiarity with remote monitoring tools and remote troubleshooting techniques.·         Excellent problem solving capability, able to utilize all available resources to quickly resolve issues and provide best practice IT solutions·         Ability to document work continuously through-out the day and provide detailed ticket and time sheet updates·          Take a personal interest in the technology supported and responsibility for the quality of work performed·          Desire and self-motivation to learn new technologies and stay abreast of industry changes·          Ability and positive attitude towards working with a diverse range of technology daily·          Familiar with best practice IT procedures for networks from 5 to 250 users, ability to convey essential information to clients·          5 or more years of design, implementation and support experience with the following technologies:1.       Server Platforms: Windows 2003/2008 Server (AD, DNS, Security, Backup/DR)2.       Server Virtualization and Shared Storage3.       Network Applications: Exchange 2003/2007/2010, SQL 2000/2005/2008, Citrix, Terminal Services4.       Desktop Platforms: Windows XP/Vista/7 (32/64bit) (Group Policy, Profile Management)·         Flash and website design is a plus","Minimum Management/Business Work Experience Requirements:·         Must have professional services / IT consulting experience.·         Must have experience managing subordinates.·         Must maintain positive attitude during high stress, overwhelming pressure and “challenging"" clients·         Able to dynamically and positively multi-task across numerous issues and clients in a high pressure environment.·         Able to take ownership of projects and complex problems and follow through with minimal supervision.·         Must understand clients budgetary needs, corporate goals and work flow process.·         Must have strong team leadership, be focus on results and enable businesses to operate more effectively.·         Sales and Marketing experience is a plus .·         5+ years of desktop and server engineering and administration experience is mandatory –Classroom or training center time does not count towards real-world experience.  JOB REQUIREMENTSCertification/Education:Microsoft Certified System Engineer (MSCE) 2003Degree in CIS or MIS and 5 years work experience in information technology, tech support call center or equivalent work and/or training experience. Physical and non IT Requirements: Valid Driver’s licenseAbility to travel to multiple clients daily if neededAbility to respond to off-hour technical emergencies when on extended call.Ability to lift, carry, and move all components of user workstations, the network, and peripherals. Recruiters, please do not contact. Long Term EmploymentCandidates without Certification and Experience will not be consideredApplication/Resumes without desired salary requirements will not be consideredApplication/Resumes with cover letters will get preferred treatmentApplicant must past background and drug test.","JOB SNAPSHOTBase Pay$50,000.00 - $70,000.00 /YearOther PayBonus Based upon PreformanceEmployment TypeFull-TimeJob TypeConsultant, Information TechnologyEducation4 Year DegreeExperienceAt least 5 year(s)Manages OthersYesIndustryOther Great Industries, Internet - ECommerce, RetailRequired TravelNot Specified ",0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Networking,Consulting,0
Sales Coordinator,"US, IL, Chicago",Sales,null,"BCV is the premier full-service social media provider in the hospitality industry. Our social media experts have developed proprietary services, methodologies, and tools to continually create significant value for clients. We are the only provider with the capacity to monitor the social space and manage potential crises 24 hours a day, 7 days a week. Our comprehensive management services are supported by a robust arsenal of cutting-edge tools and analytics designed to drive traffic, increase sales, create unforgettable experiences for guests, and mitigate negative customer experiences.","As the premier social media provider to luxury hotels and resorts, BCV is uniquely positioned for rapid, uninhibited growth. This role is the primary support to the sales team that aids in the growth and success of BCV. This will be achieved by working with a talented team of sales representatives, understanding client’s business needs, and how BCV can assist clients in the management of the social media landscape. Become an integral part of the sales function by providing superior support to Sales Managers by generating polished sales presentations and collateral.Generate leads by using creative prospecting skills and resources. Utilize social media to generate new leads into existing clients and future prospects.Become a #URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86# subject matter expert.Provide administrative and clerical support to sales.Maintain sales records as a basis for reports to the senior management team.Prepare reports on sales by individual representatives and sales to individual customers. Ensure that sales team has sufficient quantities of sales support material, such as product brochures or case studies for presentations.Work with implementation teams to ensure clients are kept on task for implementation.Manage marketing campaigns and promotional efforts ",Qualifications:Creative problem solving and a willingness to go above and beyond to enhance the sales effort.Computer competency and proficiency in MS Office with emphasis on Excel and PowerPoint.One year preferred in sales support role.Social Media knowledge is ideal.Hospitality experience is preferred.Excellent phone and communication skills.Attention to detail.Experience with #URL_43a68868b5b6e2a51677a4fb4c6fbbb676f678d92202751257e2f7616aeed3cb# contact management software a plus.College degree required.,"Health, Vision and Dental CareFast growing start up companyCTA Monthly StipendGym Membership ($50)Fun, Energetic Work EnvironmentHappy Hour Fridays",0,1,0,Full-time,Associate,Bachelor's Degree,Online Media,Sales,0
